Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2018,61.33394,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2017,60.83393,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2016,60.31467,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2015,59.82032,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2014,59.29569,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2013,59.21884,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2012,60.93871,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2011,60.43056,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2010,58.4782,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2009,57.77316,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2008,55.70579,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2007,54.62016,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2006,54.68707,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2005,54.5644,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2004,54.25793,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2003,52.62142,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2002,50.77715,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2001,49.90597,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,2000,48.55836,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1999,47.21783,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1998,45.5894,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1997,44.15798,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1996,42.63363,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1995,42.2805,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1994,41.94779,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1993,40.01995,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1992,39.15298,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1991,39.69981,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1990,39.30151,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1989,36.85577,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1988,35.97369,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1987,35.2121,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1986,33.97015,Net
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Arab World,ARB,1985,32.22337,Net
