Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2020,8.91032981872559,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2019,8.4106502532959,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2018,8.43441009521484,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2017,8.32888031005859,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2016,8.10912036895752,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2015,7.86632013320923,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2014,7.66922998428345,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2013,7.6104998588562,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2012,7.34856986999512,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2011,6.89076995849609,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2010,6.63025999069214,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2009,6.11955976486206,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2008,5.59102010726929,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2007,5.25924015045166,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2006,5.10174989700317,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2005,4.7781400680542,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Africa Eastern and Southern,AFE,2004,4.54700994491577,
